timestamp,interface,released_plot_mw,corrected_operator_mw,observed_mw,positive_limit_mw,released_paper_error_pct,pf_success
01-Jan-2019 00:00:00,Dysinger East,550.94531702978,1301.71828649367,972.475384615385,3150,13.3819069074795,1
01-Jan-2019 00:00:00,West Central,-923.456470975311,1038.23528942466,677.99,9999,16.0160663163847,1
01-Jan-2019 00:00:00,Total East,4014.70600182809,4014.70600182809,3760.77846153846,6800,-3.734228533671,1
01-Jan-2019 00:00:00,Moses South,173.662113700251,1212.50925716163,1181.67384615385,3150,32.0003724588443,1
01-Jan-2019 00:00:00,Central East,2489.23028547713,2489.23028547713,2230.71153846154,2355.76923076923,-10.9738570161721,1
01-Jan-2019 00:00:00,UpNY-Coned,-1008.20842627207,1615.04643357135,1593.25692307692,5700,45.639742971035,1
01-Jan-2019 00:00:00,Dun/SPR-South,2142.56555063726,2675.61538461538,2389.27846153846,4600,5.36332415002609,1
01-Jan-2019 01:00:00,Dysinger East,595.915999788978,1370.08724273616,1022.6525,3150,13.5471904828896,1
01-Jan-2019 01:00:00,West Central,-890.832204409066,1144.1032859775,764.373333333333,9999,16.5537107484988,1
01-Jan-2019 01:00:00,Total East,3890.1818133362,3890.1818133362,3719.10666666667,6800,-2.51581098043427,1
01-Jan-2019 01:00:00,Moses South,158.716302976108,1108.21327150128,997.991666666666,3150,26.6436623393828,1
01-Jan-2019 01:00:00,Central East,2380.30530941082,2380.30530941082,2199.74583333333,2315.41666666667,-7.79814184966651,1
01-Jan-2019 01:00:00,UpNY-Coned,-1079.47874499784,1570.9387934784,1619.7725,5700,47.3552849999622,1
01-Jan-2019 01:00:00,Dun/SPR-South,2219.34969328315,2659.85000000002,2475.24333333333,4600,5.56290521848214,1
01-Jan-2019 02:00:00,Dysinger East,624.975976737738,1479.44208573371,1100.3625,3150,15.0916356591194,1
01-Jan-2019 02:00:00,West Central,-849.274621470941,1280.19716833068,866.376666666667,9999,17.1582287042465,1
01-Jan-2019 02:00:00,Total East,3910.99843489528,3910.99843489528,3675.23166666667,6800,-3.46715835630315,1
01-Jan-2019 02:00:00,Moses South,158.721809048356,1059.54569694656,858.583333333333,3150,22.2178261677771,1
01-Jan-2019 02:00:00,Central East,2422.51230364795,2422.51230364795,2150.6,2265,-12.0049582184524,1
01-Jan-2019 02:00:00,UpNY-Coned,-1062.36941187463,1542.55571389907,1517.965,5700,45.2690247697303,1
01-Jan-2019 02:00:00,Dun/SPR-South,2095.87503378794,2570.73333333334,2354.38666666667,4600,5.6198181060593,1
01-Jan-2019 03:00:00,Dysinger East,589.706825669087,1189.73634698098,877.571666666667,3150,9.13856638087556,1
01-Jan-2019 03:00:00,West Central,-893.366248413514,1013.0337854969,662.551666666667,9999,15.5607352243242,1
01-Jan-2019 03:00:00,Total East,3772.0257310782,3772.0257310782,3603.76666666667,6800,-2.47439800605195,1
01-Jan-2019 03:00:00,Moses South,156.75893233957,1059.09913905061,972.954166666667,3150,25.9109598199078,1
01-Jan-2019 03:00:00,Central East,2398.17956574713,2398.17956574713,2160.31833333333,2265,-10.5015996650685,1
01-Jan-2019 03:00:00,UpNY-Coned,-938.492593603441,1382.43503489239,1407.04083333333,5700,41.1497092445048,1
01-Jan-2019 03:00:00,Dun/SPR-South,1951.92169141937,2403.93333333333,2232.49333333333,4600,6.09938351986883,1
01-Jan-2019 04:00:00,Dysinger East,602.721497686137,1304.00863492082,857.489166666667,3150,8.08786250731839,1
01-Jan-2019 04:00:00,West Central,-855.272104342814,1132.65805523792,651.926666666667,9999,15.0734950596008,1
01-Jan-2019 04:00:00,Total East,3835.89542580709,3835.89542580709,3670.98166666667,6800,-2.4252023403003,1
01-Jan-2019 04:00:00,Moses South,156.620781628595,1036.46407995641,1054.62333333333,3150,28.5080175144361,1
01-Jan-2019 04:00:00,Central East,2443.07957753027,2443.07957753027,2114.0125,2265,-14.528347793831,1
01-Jan-2019 04:00:00,UpNY-Coned,-948.099560470365,1388.47206170514,1369.7475,5700,40.6639835170239,1
01-Jan-2019 04:00:00,Dun/SPR-South,1990.75886244125,2391.51666666668,2161.62,4600,3.71437255562491,1
01-Jan-2019 05:00:00,Dysinger East,637.767251427903,1580.93702941376,1085.2325,3150,14.2052459864158,1
01-Jan-2019 05:00:00,West Central,-822.0488510128,1386.12345639899,861.685833333333,9999,16.839030746536,1
01-Jan-2019 05:00:00,Total East,3907.07952687876,3907.07952687876,3807.41166666667,6800,-1.46570382664851,1
01-Jan-2019 05:00:00,Moses South,149.191085369394,1013.87821622165,909.2575,3150,24.1290925279557,1
01-Jan-2019 05:00:00,Central East,2482.92324736524,2482.92324736524,2086.74333333333,2265,-17.4913869329762,1
01-Jan-2019 05:00:00,UpNY-Coned,-984.856120651292,1472.69561916435,1374.4925,5700,41.3920810640578,1
01-Jan-2019 05:00:00,Dun/SPR-South,2025.23262044123,2513.13333333333,2205.76666666667,4600,3.92465317881385,1
01-Jan-2019 06:00:00,Dysinger East,616.676381667434,1489.29789803913,1001.48333333333,3150,12.2160937036793,1
01-Jan-2019 06:00:00,West Central,-886.366557220568,1257.96464079808,738.888333333333,9999,16.2541743229713,1
01-Jan-2019 06:00:00,Total East,3994.91806733588,3994.91806733588,3836.51166666667,6800,-2.32950589219431,1
01-Jan-2019 06:00:00,Moses South,196.78320594064,1228.7730143096,1022.08666666667,3150,26.2001098643183,1
01-Jan-2019 06:00:00,Central East,2496.45256556134,2496.45256556134,2139.61166666667,2281.66666666667,-15.6394842466622,1
01-Jan-2019 06:00:00,UpNY-Coned,-980.710863279127,1521.28260083311,1450.26416666667,5700,42.6486847358911,1
01-Jan-2019 06:00:00,Dun/SPR-South,2023.04329258618,2462.48333333332,2163.39166666667,4600,3.05105161044535,1
01-Jan-2019 07:00:00,Dysinger East,613.327570234482,1394.2438781757,786.714166666667,3150,5.50433639467252,1
