scope,operator_variant,interface,month,observations,sum_absolute_error_mw,sum_absolute_observed_mw,actual_flow_wape_pct,mae_mw,rmse_mw,bias_sim_minus_observed_mw,mape_nonzero_actual_pct,max_nonzero_actual_error_pct,mape_defined_observations,zero_actual_flow_count,min_absolute_observed_mw,min_nonzero_absolute_observed_mw,opposite_direction_count,opposite_direction_fraction,zero_prediction_nonzero_actual_count,positive_limit_9999_count,paper_error_q025_pct,paper_error_q25_pct,paper_error_median_pct,paper_error_q75_pct,paper_error_q975_pct,fraction_absolute_paper_error_le_10pct,fraction_absolute_paper_error_le_15pct
primary_all_naive_hours,corrected_released_if_map,UpNY-Coned,1,24,2751.95915911,39279.1952564,7.00614954341,114.664964963,148.519676302,44.1401692399,6.90000352915,19.8443353279,24,0,1369.7475,1369.7475,0,0,0,0,-5.57648865588,-2.12753670894,-0.399156767596,0.751871265064,3.19181619465,1,1
primary_all_naive_hours,corrected_released_if_map,Dun/SPR-South,1,24,5489.18775641,53996.6442949,10.1657942416,228.716156517,236.367604839,228.716156517,10.2876588327,15.3560817437,24,0,2052.72166667,2052.72166667,0,0,0,0,-6.90055932971,-6.11173599498,-4.94267210145,-3.94163043478,-2.85257653986,1,1
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Dysinger East,1,24,6061.58835923,20074.0653846,30.1961174435,252.566181634,283.778123126,-238.105720088,28.3975382458,43.3460912486,24,0,436.305,436.305,0,0,0,0,-2.74490975337,5.56673051531,8.02893139452,10.9752663338,14.5819615973,0.708333333333,0.958333333333
unimputed_unambiguous_hour_sensitivity,literal_released_plot,West Central,1,24,38971.7418315,10320.795,377.604068596,1623.82257631,1631.50184641,-1623.82257631,522.554617941,1455.85611348,24,0,93.255,93.255,24,1,0,24,13.3810348195,15.4389251831,16.0641644425,16.9947811326,19.0542318449,0,0.208333333333
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Total East,1,24,6831.96060881,90206.7267949,7.5736708908,284.665025367,320.541416753,284.665025367,7.67900351877,16.8861567181,24,0,3374.34,3374.34,0,0,0,0,-8.56209102412,-5.02998523388,-3.54797627427,-2.46209908961,-1.58358643355,1,1
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Moses South,1,24,34555.865203,39017.6696795,88.5646566974,1439.82771679,1501.92598217,-1439.82771679,87.7067882802,92.3727670666,24,0,858.583333333,858.583333333,0,0,0,0,23.3168043249,31.1272837227,51.8087589337,56.5291474894,62.0789417849,0,0
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Central East,1,24,5827.61574805,51635.8998718,11.2859769318,242.817322836,258.331436494,242.817322836,11.4088874829,22.9774077196,24,0,1945.33083333,1945.33083333,0,0,0,0,-18.3260699567,-12.5347456962,-9.69571707141,-7.08868106304,-5.03680307243,0.541666666667,0.875
unimputed_unambiguous_hour_sensitivity,literal_released_plot,UpNY-Coned,1,24,67477.4465436,39279.1952564,171.789279549,2811.56027265,2823.10185387,-2811.56027265,171.743159951,178.317721904,24,0,1369.7475,1369.7475,24,1,0,0,40.9432758103,46.9263994927,49.9319104722,52.8553962931,55.8988414815,0,0
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Dun/SPR-South,1,24,9924.9581899,53996.6442949,18.3806944293,413.539924579,483.185210145,276.274916848,18.9486476888,42.3054346707,24,0,2052.72166667,2052.72166667,0,0,0,0,-17.9916611786,-14.6718168105,-6.87322085282,3.21688184674,5.82363340693,0.583333333333,0.833333333333
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Dysinger East,1,24,12581.6198197,20074.0653846,62.6759930221,524.234159155,540.182107955,524.234159155,67.7865205457,123.592464164,24,0,436.305,436.305,0,0,0,0,-23.7740383353,-19.4850915972,-16.8968187981,-13.4517895274,-10.2217351655,0.0416666666667,0.333333333333
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,West Central,1,24,13465.7206633,10320.795,130.471738498,561.071694303,576.426195217,561.071694303,200.69553138,639.273480378,24,0,93.255,93.255,0,0,0,24,-7.90541148787,-6.49801095774,-5.68375395365,-4.62279567066,-3.56131555078,1,1
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Total East,1,24,6831.96060881,90206.7267949,7.5736708908,284.665025367,320.541416753,284.665025367,7.67900351877,16.8861567181,24,0,3374.34,3374.34,0,0,0,0,-8.56209102412,-5.02998523388,-3.54797627427,-2.46209908961,-1.58358643355,1,1
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Moses South,1,24,3014.02669428,39017.6696795,7.72477372184,125.584445595,137.710268367,-46.9754561631,8.36659581478,23.4062735452,24,0,858.583333333,858.583333333,0,0,0,0,-6.50944954911,-1.41786670958,3.31627328714,4.23444170069,6.36705215899,1,1
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Central East,1,24,5827.61574805,51635.8998718,11.2859769318,242.817322836,258.331436494,242.817322836,11.4088874829,22.9774077196,24,0,1945.33083333,1945.33083333,0,0,0,0,-18.3260699567,-12.5347456962,-9.69571707141,-7.08868106304,-5.03680307243,0.541666666667,0.875
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,UpNY-Coned,1,24,2751.95915911,39279.1952564,7.00614954341,114.664964963,148.519676302,44.1401692399,6.90000352915,19.8443353279,24,0,1369.7475,1369.7475,0,0,0,0,-5.57648865588,-2.12753670894,-0.399156767596,0.751871265064,3.19181619465,1,1
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Dun/SPR-South,1,24,5489.18775641,53996.6442949,10.1657942416,228.716156517,236.367604839,228.716156517,10.2876588327,15.3560817437,24,0,2052.72166667,2052.72166667,0,0,0,0,-6.90055932971,-6.11173599498,-4.94267210145,-3.94163043478,-2.85257653986,1,1
