interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,scale_factor_gamma,actual_observed_flow_mw,model_proxy_observation_scale_mw,observation_scale_residual_mw,model_observation_scale_is_mathematical_rescaling,electrical_baseline_qualified
Dysinger_East,119.090159943379,119.424624611063,-0.334464667684102,0.334464667684102,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.74985516253,-0.94014483746994,1,1
West_Central,-251.331515973926,-249.020389314563,-2.31112665936308,2.31112665936308,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.466332819201,-6.49633281920088,1,1
Moses_South,715.002857226171,713.559374921485,1.44348230468552,1.44348230468552,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.7974762235,4.05747622350067,1,1
Central_East,917.979198384496,919.824688464481,-1.8454900799851,1.8454900799851,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.34252240091,-5.18747759909482,1,1
Total_East_proxy,1067.46887978366,1064.86749418979,2.60138559386451,2.60138559386451,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.54222001198,7.31222001198136,1,1
UPNY_ConEd,1883.81843205658,1887.02575769531,-3.20732563873162,3.20732563873162,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.2145465525,-9.01545344749679,1,1
Dunwoodie_South,1016.11019930173,1013.73430197272,2.37589732900199,2.37589732900199,1,0,nominal,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.17839632714,6.67839632714068,1,1
Dysinger_East,119.16727492408,119.424624611063,-0.257349686982465,0.257349686982465,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.966617224425,-0.723382775574921,1,1
West_Central,-251.347832349539,-249.020389314563,-2.32744303497589,2.32744303497589,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.512196426872,-6.54219642687225,1,1
Moses_South,714.979614879454,713.559374921485,1.42023995796853,1.42023995796853,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.73214444293,3.99214444293336,1,1
