scenario_id,load_mode,zone_j_total_pmax_mw,device_name,bus_id,bus_name,proxy_interpretation,gen_index,pg_mw,qg_mvar,pmax_mw,fraction_pmax_used
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,751.8723504989,0,1200,0.626560292082417
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,752.459345828395,0,900,0.836065939809328
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,811.434416358987,0,900,0.90159379595443
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,572.536807021848,0,1200,0.47711400585154
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,574.764032198803,0,900,0.638626702443114
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,617.655655749832,0,900,0.686284061944258
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,676.573305392089,0,1200,0.56381108782674
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,684.026994809667,0,900,0.760029994232963
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,697.24094025168,0,900,0.7747121558352
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,789.854457392424,0,1200,0.65821204782702
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,790.494505420036,0,900,0.878327228244484
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,849.411812229123,0,900,0.943790902476803
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,784.030454771659,0,1200,0.653358712309716
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,785.117705569939,0,900,0.872353006188822
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,840.369613959131,0,900,0.933744015510145
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,614.043175143188,0,1200,0.511702645952656
