candidate_id,mode,gilboa_leeds_scale,pleasant_wood_scale,wood_millwood_scale,lower_hudson_b_fraction
PERF_GL0p75_PV4_WM2_B0,perform_scaled,0.75,4,2,0
PERF_GL0p75_PV4_WM2_B0p5,perform_scaled,0.75,4,2,0.5
PERF_GL0p75_PV4_WM2_B1,perform_scaled,0.75,4,2,1
PERF_GL0p75_PV4_WM4_B0,perform_scaled,0.75,4,4,0
PERF_GL0p75_PV4_WM4_B0p5,perform_scaled,0.75,4,4,0.5
PERF_GL0p75_PV4_WM4_B1,perform_scaled,0.75,4,4,1
PERF_GL0p75_PV4_WM7_B0,perform_scaled,0.75,4,7,0
PERF_GL0p75_PV4_WM7_B0p5,perform_scaled,0.75,4,7,0.5
PERF_GL0p75_PV4_WM7_B1,perform_scaled,0.75,4,7,1
PERF_GL1_PV0p75_WM0p75_B0,perform_scaled,1,0.75,0.75,0
PERF_GL1_PV0p75_WM0p75_B0p5,perform_scaled,1,0.75,0.75,0.5
PERF_GL1_PV0p75_WM0p75_B1,perform_scaled,1,0.75,0.75,1
PERF_GL1_PV0p75_WM1_B0,perform_scaled,1,0.75,1,0
PERF_GL1_PV0p75_WM1_B0p5,perform_scaled,1,0.75,1,0.5
PERF_GL1_PV0p75_WM1_B1,perform_scaled,1,0.75,1,1
PERF_GL1_PV0p75_WM2_B0,perform_scaled,1,0.75,2,0
PERF_GL1_PV0p75_WM2_B0p5,perform_scaled,1,0.75,2,0.5
PERF_GL1_PV0p75_WM2_B1,perform_scaled,1,0.75,2,1
PERF_GL1_PV0p75_WM4_B0,perform_scaled,1,0.75,4,0
PERF_GL1_PV0p75_WM4_B0p5,perform_scaled,1,0.75,4,0.5
PERF_GL1_PV0p75_WM4_B1,perform_scaled,1,0.75,4,1
PERF_GL1_PV0p75_WM7_B0,perform_scaled,1,0.75,7,0
PERF_GL1_PV0p75_WM7_B0p5,perform_scaled,1,0.75,7,0.5
PERF_GL1_PV0p75_WM7_B1,perform_scaled,1,0.75,7,1
PERF_GL1_PV1_WM0p75_B0,perform_scaled,1,1,0.75,0
PERF_GL1_PV1_WM0p75_B0p5,perform_scaled,1,1,0.75,0.5
PERF_GL1_PV1_WM0p75_B1,perform_scaled,1,1,0.75,1
PERF_GL1_PV1_WM1_B0,perform_scaled,1,1,1,0
PERF_GL1_PV1_WM1_B0p5,perform_scaled,1,1,1,0.5
PERF_GL1_PV1_WM1_B1,perform_scaled,1,1,1,1
PERF_GL1_PV1_WM2_B0,perform_scaled,1,1,2,0
PERF_GL1_PV1_WM2_B0p5,perform_scaled,1,1,2,0.5
PERF_GL1_PV1_WM2_B1,perform_scaled,1,1,2,1
PERF_GL1_PV1_WM4_B0,perform_scaled,1,1,4,0
PERF_GL1_PV1_WM4_B0p5,perform_scaled,1,1,4,0.5
PERF_GL1_PV1_WM4_B1,perform_scaled,1,1,4,1
PERF_GL1_PV1_WM7_B0,perform_scaled,1,1,7,0
PERF_GL1_PV1_WM7_B0p5,perform_scaled,1,1,7,0.5
PERF_GL1_PV1_WM7_B1,perform_scaled,1,1,7,1
PERF_GL1_PV1p5_WM0p75_B0,perform_scaled,1,1.5,0.75,0
PERF_GL1_PV1p5_WM0p75_B0p5,perform_scaled,1,1.5,0.75,0.5
PERF_GL1_PV1p5_WM0p75_B1,perform_scaled,1,1.5,0.75,1
PERF_GL1_PV1p5_WM1_B0,perform_scaled,1,1.5,1,0
PERF_GL1_PV1p5_WM1_B0p5,perform_scaled,1,1.5,1,0.5
PERF_GL1_PV1p5_WM1_B1,perform_scaled,1,1.5,1,1
PERF_GL1_PV1p5_WM2_B0,perform_scaled,1,1.5,2,0
PERF_GL1_PV1p5_WM2_B0p5,perform_scaled,1,1.5,2,0.5
PERF_GL1_PV1p5_WM2_B1,perform_scaled,1,1.5,2,1
PERF_GL1_PV1p5_WM4_B0,perform_scaled,1,1.5,4,0
PERF_GL1_PV1p5_WM4_B0p5,perform_scaled,1,1.5,4,0.5
PERF_GL1_PV1p5_WM4_B1,perform_scaled,1,1.5,4,1
PERF_GL1_PV1p5_WM7_B0,perform_scaled,1,1.5,7,0
PERF_GL1_PV1p5_WM7_B0p5,perform_scaled,1,1.5,7,0.5
PERF_GL1_PV1p5_WM7_B1,perform_scaled,1,1.5,7,1
PERF_GL1_PV2p5_WM0p75_B0,perform_scaled,1,2.5,0.75,0
PERF_GL1_PV2p5_WM0p75_B0p5,perform_scaled,1,2.5,0.75,0.5
PERF_GL1_PV2p5_WM0p75_B1,perform_scaled,1,2.5,0.75,1
PERF_GL1_PV2p5_WM1_B0,perform_scaled,1,2.5,1,0
PERF_GL1_PV2p5_WM1_B0p5,perform_scaled,1,2.5,1,0.5
PERF_GL1_PV2p5_WM1_B1,perform_scaled,1,2.5,1,1
PERF_GL1_PV2p5_WM2_B0,perform_scaled,1,2.5,2,0
PERF_GL1_PV2p5_WM2_B0p5,perform_scaled,1,2.5,2,0.5
PERF_GL1_PV2p5_WM2_B1,perform_scaled,1,2.5,2,1
PERF_GL1_PV2p5_WM4_B0,perform_scaled,1,2.5,4,0
PERF_GL1_PV2p5_WM4_B0p5,perform_scaled,1,2.5,4,0.5
PERF_GL1_PV2p5_WM4_B1,perform_scaled,1,2.5,4,1
PERF_GL1_PV2p5_WM7_B0,perform_scaled,1,2.5,7,0
PERF_GL1_PV2p5_WM7_B0p5,perform_scaled,1,2.5,7,0.5
PERF_GL1_PV2p5_WM7_B1,perform_scaled,1,2.5,7,1
PERF_GL1_PV4_WM0p75_B0,perform_scaled,1,4,0.75,0
PERF_GL1_PV4_WM0p75_B0p5,perform_scaled,1,4,0.75,0.5
PERF_GL1_PV4_WM0p75_B1,perform_scaled,1,4,0.75,1
PERF_GL1_PV4_WM1_B0,perform_scaled,1,4,1,0
PERF_GL1_PV4_WM1_B0p5,perform_scaled,1,4,1,0.5
PERF_GL1_PV4_WM1_B1,perform_scaled,1,4,1,1
PERF_GL1_PV4_WM2_B0,perform_scaled,1,4,2,0
PERF_GL1_PV4_WM2_B0p5,perform_scaled,1,4,2,0.5
PERF_GL1_PV4_WM2_B1,perform_scaled,1,4,2,1
PERF_GL1_PV4_WM4_B0,perform_scaled,1,4,4,0
PERF_GL1_PV4_WM4_B0p5,perform_scaled,1,4,4,0.5
PERF_GL1_PV4_WM4_B1,perform_scaled,1,4,4,1
PERF_GL1_PV4_WM7_B0,perform_scaled,1,4,7,0
PERF_GL1_PV4_WM7_B0p5,perform_scaled,1,4,7,0.5
PERF_GL1_PV4_WM7_B1,perform_scaled,1,4,7,1
PERF_GL1p25_PV0p75_WM0p75_B0,perform_scaled,1.25,0.75,0.75,0
PERF_GL1p25_PV0p75_WM0p75_B0p5,perform_scaled,1.25,0.75,0.75,0.5
PERF_GL1p25_PV0p75_WM0p75_B1,perform_scaled,1.25,0.75,0.75,1
PERF_GL1p25_PV0p75_WM1_B0,perform_scaled,1.25,0.75,1,0
PERF_GL1p25_PV0p75_WM1_B0p5,perform_scaled,1.25,0.75,1,0.5
PERF_GL1p25_PV0p75_WM1_B1,perform_scaled,1.25,0.75,1,1
PERF_GL1p25_PV0p75_WM2_B0,perform_scaled,1.25,0.75,2,0
PERF_GL1p25_PV0p75_WM2_B0p5,perform_scaled,1.25,0.75,2,0.5
PERF_GL1p25_PV0p75_WM2_B1,perform_scaled,1.25,0.75,2,1
PERF_GL1p25_PV0p75_WM4_B0,perform_scaled,1.25,0.75,4,0
PERF_GL1p25_PV0p75_WM4_B0p5,perform_scaled,1.25,0.75,4,0.5
PERF_GL1p25_PV0p75_WM4_B1,perform_scaled,1.25,0.75,4,1
PERF_GL1p25_PV0p75_WM7_B0,perform_scaled,1.25,0.75,7,0
PERF_GL1p25_PV0p75_WM7_B0p5,perform_scaled,1.25,0.75,7,0.5
PERF_GL1p25_PV0p75_WM7_B1,perform_scaled,1.25,0.75,7,1
PERF_GL1p25_PV1_WM0p75_B0,perform_scaled,1.25,1,0.75,0
PERF_GL1p25_PV1_WM0p75_B0p5,perform_scaled,1.25,1,0.75,0.5
PERF_GL1p25_PV1_WM0p75_B1,perform_scaled,1.25,1,0.75,1
PERF_GL1p25_PV1_WM1_B0,perform_scaled,1.25,1,1,0
PERF_GL1p25_PV1_WM1_B0p5,perform_scaled,1.25,1,1,0.5
PERF_GL1p25_PV1_WM1_B1,perform_scaled,1.25,1,1,1
PERF_GL1p25_PV1_WM2_B0,perform_scaled,1.25,1,2,0
PERF_GL1p25_PV1_WM2_B0p5,perform_scaled,1.25,1,2,0.5
PERF_GL1p25_PV1_WM2_B1,perform_scaled,1.25,1,2,1
PERF_GL1p25_PV1_WM4_B0,perform_scaled,1.25,1,4,0
PERF_GL1p25_PV1_WM4_B0p5,perform_scaled,1.25,1,4,0.5
PERF_GL1p25_PV1_WM4_B1,perform_scaled,1.25,1,4,1
PERF_GL1p25_PV1_WM7_B0,perform_scaled,1.25,1,7,0
PERF_GL1p25_PV1_WM7_B0p5,perform_scaled,1.25,1,7,0.5
PERF_GL1p25_PV1_WM7_B1,perform_scaled,1.25,1,7,1
PERF_GL1p25_PV1p5_WM0p75_B0,perform_scaled,1.25,1.5,0.75,0
PERF_GL1p25_PV1p5_WM0p75_B0p5,perform_scaled,1.25,1.5,0.75,0.5
PERF_GL1p25_PV1p5_WM0p75_B1,perform_scaled,1.25,1.5,0.75,1
PERF_GL1p25_PV1p5_WM1_B0,perform_scaled,1.25,1.5,1,0
PERF_GL1p25_PV1p5_WM1_B0p5,perform_scaled,1.25,1.5,1,0.5
PERF_GL1p25_PV1p5_WM1_B1,perform_scaled,1.25,1.5,1,1
PERF_GL1p25_PV1p5_WM2_B0,perform_scaled,1.25,1.5,2,0
PERF_GL1p25_PV1p5_WM2_B0p5,perform_scaled,1.25,1.5,2,0.5
PERF_GL1p25_PV1p5_WM2_B1,perform_scaled,1.25,1.5,2,1
PERF_GL1p25_PV1p5_WM4_B0,perform_scaled,1.25,1.5,4,0
PERF_GL1p25_PV1p5_WM4_B0p5,perform_scaled,1.25,1.5,4,0.5
PERF_GL1p25_PV1p5_WM4_B1,perform_scaled,1.25,1.5,4,1
PERF_GL1p25_PV1p5_WM7_B0,perform_scaled,1.25,1.5,7,0
PERF_GL1p25_PV1p5_WM7_B0p5,perform_scaled,1.25,1.5,7,0.5
PERF_GL1p25_PV1p5_WM7_B1,perform_scaled,1.25,1.5,7,1
PERF_GL1p25_PV2p5_WM0p75_B0,perform_scaled,1.25,2.5,0.75,0
PERF_GL1p25_PV2p5_WM0p75_B0p5,perform_scaled,1.25,2.5,0.75,0.5
PERF_GL1p25_PV2p5_WM0p75_B1,perform_scaled,1.25,2.5,0.75,1
PERF_GL1p25_PV2p5_WM1_B0,perform_scaled,1.25,2.5,1,0
PERF_GL1p25_PV2p5_WM1_B0p5,perform_scaled,1.25,2.5,1,0.5
PERF_GL1p25_PV2p5_WM1_B1,perform_scaled,1.25,2.5,1,1
PERF_GL1p25_PV2p5_WM2_B0,perform_scaled,1.25,2.5,2,0
PERF_GL1p25_PV2p5_WM2_B0p5,perform_scaled,1.25,2.5,2,0.5
PERF_GL1p25_PV2p5_WM2_B1,perform_scaled,1.25,2.5,2,1
PERF_GL1p25_PV2p5_WM4_B0,perform_scaled,1.25,2.5,4,0
PERF_GL1p25_PV2p5_WM4_B0p5,perform_scaled,1.25,2.5,4,0.5
PERF_GL1p25_PV2p5_WM4_B1,perform_scaled,1.25,2.5,4,1
PERF_GL1p25_PV2p5_WM7_B0,perform_scaled,1.25,2.5,7,0
PERF_GL1p25_PV2p5_WM7_B0p5,perform_scaled,1.25,2.5,7,0.5
PERF_GL1p25_PV2p5_WM7_B1,perform_scaled,1.25,2.5,7,1
PERF_GL1p25_PV4_WM0p75_B0,perform_scaled,1.25,4,0.75,0
PERF_GL1p25_PV4_WM0p75_B0p5,perform_scaled,1.25,4,0.75,0.5
PERF_GL1p25_PV4_WM0p75_B1,perform_scaled,1.25,4,0.75,1
PERF_GL1p25_PV4_WM1_B0,perform_scaled,1.25,4,1,0
PERF_GL1p25_PV4_WM1_B0p5,perform_scaled,1.25,4,1,0.5
PERF_GL1p25_PV4_WM1_B1,perform_scaled,1.25,4,1,1
PERF_GL1p25_PV4_WM2_B0,perform_scaled,1.25,4,2,0
PERF_GL1p25_PV4_WM2_B0p5,perform_scaled,1.25,4,2,0.5
PERF_GL1p25_PV4_WM2_B1,perform_scaled,1.25,4,2,1
PERF_GL1p25_PV4_WM4_B0,perform_scaled,1.25,4,4,0
PERF_GL1p25_PV4_WM4_B0p5,perform_scaled,1.25,4,4,0.5
PERF_GL1p25_PV4_WM4_B1,perform_scaled,1.25,4,4,1
PERF_GL1p25_PV4_WM7_B0,perform_scaled,1.25,4,7,0
PERF_GL1p25_PV4_WM7_B0p5,perform_scaled,1.25,4,7,0.5
PERF_GL1p25_PV4_WM7_B1,perform_scaled,1.25,4,7,1
