scenario_id,variant,ratings_relaxed,voltage_relaxed,status,model,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,generation_minus_load_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,above_original_vmax_count,below_original_vmin_count,at_solver_vmax_count,at_solver_vmin_count,original_rate_overload_count,max_original_rate_overload_mva,solver_rate_overload_count,max_solver_rate_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S1_2025_SUMMER_PEAK_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,218844.88473192,10902.2197987,9573.71264106336,-1328.50715763664,351.99013825362,1,1,0,0,0,0,0,0,0,0,2499.99411358259,1969.41281767411,1290.65709720107,
S1_2025_SUMMER_PEAK_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,233045.603505139,10902.2197987,8563.21795026665,-2339.00184843335,92.7921767857886,1,1,0,0,0,0,1,2.4999268589454e-05,1,2.4999268589454e-05,2500.00002499927,1539.43325999396,2461.60837121603,
S1_2025_SUMMER_PEAK_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,188366.646224075,10902.2197987,10902.2196864947,-0.000112205283585354,92.796973728909,1,1,0,0,0,0,11,4686.10776817658,0,0,7186.10776817658,6225.54100317208,3658.68584518246,
S1_2025_SUMMER_PEAK_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,268708.528166419,10902.2197987,8804.38501616079,-2097.83478253921,92.7939705012701,0.989043763149912,1.1,0,0,12,0,0,1.90375430975109e-08,0,1.90375430975109e-08,2499.31747920627,1447.57517438354,2469.47539038452,
S1_2025_SUMMER_PEAK_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,269360.195589468,10902.2197987,9157.67529010855,-1744.54450859145,92.7940086488753,0.900258996974805,1.1,0,0,11,0,1,280.211957729449,0,0,2773.59565569111,1684.85240787116,2469.95103897731,
S1_2025_SUMMER_PEAK_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,249481.526317885,10902.2197987,8721.37679128244,-2180.84300741756,92.7890587815327,1.59860845614222,1.99992927539395,46,0,0,0,0,0,0,0,2499.89183198138,1513.81966854257,2463.9207655852,
S1_2025_SUMMER_PEAK_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,1,1,212360.144872405,10902.2197987,11710.6384785904,808.418679890441,92.796973728909,1.95338990793213,2,46,0,14,0,9,3544.22820660565,0,0,6044.22178516922,4925.95498743092,2463.9363367435,
S2_2025_WINTER_PEAK_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,221517.113320855,10902.2197987,10399.1608455978,-503.058953102181,1608.68114029262,1,1,0,0,0,0,0,0,0,0,2499.99281668223,2125.78982416286,1464.2485593186,
S2_2025_WINTER_PEAK_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,233148.851886901,10902.2197987,9735.49923193608,-1166.72056676392,1461.85494323785,1,1,0,0,0,0,1,2.49992681347067e-05,1,2.49992681347067e-05,2500.00002499927,1957.23875538611,2099.30602371586,
S2_2025_WINTER_PEAK_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,155229.986155142,10902.2197987,10902.2197352035,-6.34964926575776e-05,1461.85990208034,1,1,0,0,0,0,11,3513.82648550115,0,0,6013.82648550115,5471.06521588796,3296.38349768481,
