candidate_id,mode,gilboa_leeds_scale,pleasant_wood_scale,wood_millwood_scale,lower_hudson_b_fraction
PERF_GL1p4_PV0p4_WM1_B1,perform_scaled,1.4,0.4,1,1
PERF_GL1p4_PV0p55_WM0p6_B0p75,perform_scaled,1.4,0.55,0.6,0.75
PERF_GL1p4_PV0p55_WM0p6_B1,perform_scaled,1.4,0.55,0.6,1
PERF_GL1p4_PV0p55_WM0p8_B0p75,perform_scaled,1.4,0.55,0.8,0.75
PERF_GL1p4_PV0p55_WM0p8_B1,perform_scaled,1.4,0.55,0.8,1
PERF_GL1p4_PV0p55_WM1_B0p75,perform_scaled,1.4,0.55,1,0.75
PERF_GL1p4_PV0p55_WM1_B1,perform_scaled,1.4,0.55,1,1
PERF_GL1p4_PV0p7_WM0p6_B0p75,perform_scaled,1.4,0.7,0.6,0.75
PERF_GL1p4_PV0p7_WM0p6_B1,perform_scaled,1.4,0.7,0.6,1
PERF_GL1p4_PV0p7_WM0p8_B0p75,perform_scaled,1.4,0.7,0.8,0.75
PERF_GL1p4_PV0p7_WM0p8_B1,perform_scaled,1.4,0.7,0.8,1
PERF_GL1p4_PV0p7_WM1_B0p75,perform_scaled,1.4,0.7,1,0.75
PERF_GL1p4_PV0p7_WM1_B1,perform_scaled,1.4,0.7,1,1
PERF_GL1p4_PV0p85_WM0p6_B0p75,perform_scaled,1.4,0.85,0.6,0.75
PERF_GL1p4_PV0p85_WM0p6_B1,perform_scaled,1.4,0.85,0.6,1
PERF_GL1p4_PV0p85_WM0p8_B0p75,perform_scaled,1.4,0.85,0.8,0.75
PERF_GL1p4_PV0p85_WM0p8_B1,perform_scaled,1.4,0.85,0.8,1
PERF_GL1p4_PV0p85_WM1_B0p75,perform_scaled,1.4,0.85,1,0.75
PERF_GL1p4_PV0p85_WM1_B1,perform_scaled,1.4,0.85,1,1
PERF_GL1p6_PV0p4_WM0p6_B0p75,perform_scaled,1.6,0.4,0.6,0.75
PERF_GL1p6_PV0p4_WM0p6_B1,perform_scaled,1.6,0.4,0.6,1
PERF_GL1p6_PV0p4_WM0p8_B0p75,perform_scaled,1.6,0.4,0.8,0.75
PERF_GL1p6_PV0p4_WM0p8_B1,perform_scaled,1.6,0.4,0.8,1
PERF_GL1p6_PV0p4_WM1_B0p75,perform_scaled,1.6,0.4,1,0.75
PERF_GL1p6_PV0p4_WM1_B1,perform_scaled,1.6,0.4,1,1
PERF_GL1p6_PV0p55_WM0p6_B0p75,perform_scaled,1.6,0.55,0.6,0.75
PERF_GL1p6_PV0p55_WM0p6_B1,perform_scaled,1.6,0.55,0.6,1
PERF_GL1p6_PV0p55_WM0p8_B0p75,perform_scaled,1.6,0.55,0.8,0.75
PERF_GL1p6_PV0p55_WM0p8_B1,perform_scaled,1.6,0.55,0.8,1
PERF_GL1p6_PV0p55_WM1_B0p75,perform_scaled,1.6,0.55,1,0.75
PERF_GL1p6_PV0p55_WM1_B1,perform_scaled,1.6,0.55,1,1
PERF_GL1p6_PV0p7_WM0p6_B0p75,perform_scaled,1.6,0.7,0.6,0.75
PERF_GL1p6_PV0p7_WM0p6_B1,perform_scaled,1.6,0.7,0.6,1
PERF_GL1p6_PV0p7_WM0p8_B0p75,perform_scaled,1.6,0.7,0.8,0.75
PERF_GL1p6_PV0p7_WM0p8_B1,perform_scaled,1.6,0.7,0.8,1
PERF_GL1p6_PV0p7_WM1_B0p75,perform_scaled,1.6,0.7,1,0.75
PERF_GL1p6_PV0p7_WM1_B1,perform_scaled,1.6,0.7,1,1
PERF_GL1p6_PV0p85_WM0p6_B0p75,perform_scaled,1.6,0.85,0.6,0.75
PERF_GL1p6_PV0p85_WM0p6_B1,perform_scaled,1.6,0.85,0.6,1
PERF_GL1p6_PV0p85_WM0p8_B0p75,perform_scaled,1.6,0.85,0.8,0.75
PERF_GL1p6_PV0p85_WM0p8_B1,perform_scaled,1.6,0.85,0.8,1
PERF_GL1p6_PV0p85_WM1_B0p75,perform_scaled,1.6,0.85,1,0.75
PERF_GL1p6_PV0p85_WM1_B1,perform_scaled,1.6,0.85,1,1
