case_id,check_group,scenario_id,zone_j_pmax_mw,voltage_penalty_rho,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,1183.64557409885,0,1200,0,0,-0,0.986371311749039
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,900,0,900,0,0,-0,1
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,900,0,900,0,0,-0,1
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3000,0,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,81.1756960383314,0,900,0,0,-0,0.0901952178203682
