weather_scenario,branch_key,subconductor_ampacity_amp,series_ampacity_at_nominal_kv_mva,assumed_equipment_limit_mva,nominal_display_limit_mva,nominal_MVA_is_not_the_enforced_series_constraint
static_reference,PERFORM2019:AC:651:858:1,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:651:858:2,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:651:902:1,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:651:902:2,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:858:902:1,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:858:902:2,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:897:902:1,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:897:902:2,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:774:1519:1,793.25267091461,948.028211192035,1216,948.028211192035,1
static_reference,PERFORM2019:AC:774:900:1,793.25267091461,948.028211192035,1725,948.028211192035,1
static_reference,PERFORM2019:AC:900:1519:1,793.25267091461,948.028211192035,1725,948.028211192035,1
static_reference,NY2025:CEEC:351,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:CEEC:352,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:CEEC:361,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:CEEC:362,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:CEEC:14,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:CEEC:371,793.25267091461,948.028211192035,2000,948.028211192035,1
static_reference,NY2025:NYES:1,793.25267091461,948.028211192035,1800,948.028211192035,1
static_reference,NY2025:NYES:2,793.25267091461,948.028211192035,1800,948.028211192035,1
static_reference,NY2025_SPC:MH2,732.368112418397,291.754719526955,433.826765771777,291.754719526955,1
static_reference,NY2025_SPC:MH3,732.368112418397,291.754719526955,433.826765771777,291.754719526955,1
static_reference,NY2025_SPC:HA2,732.368112418397,875.264158580866,1300.88273978672,875.264158580866,1
static_reference,NY2025_SPC:HW2,732.368112418397,875.264158580866,1863.78193173853,875.264158580866,1
static_reference,NY2025_SPC:LINE11,732.368112418397,875.264158580866,1863.78193173853,875.264158580866,1
static_reference,NY2025_SPC:LINE13,732.368112418397,875.264158580866,1863.78193173853,875.264158580866,1
windy_mild,PERFORM2019:AC:651:858:1,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:651:858:2,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:651:902:1,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:651:902:2,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:858:902:1,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:858:902:2,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:897:902:1,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:897:902:2,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:774:1519:1,1402.78108195829,1676.48479303526,1216,1216,1
windy_mild,PERFORM2019:AC:774:900:1,1402.78108195829,1676.48479303526,1725,1676.48479303526,1
windy_mild,PERFORM2019:AC:900:1519:1,1402.78108195829,1676.48479303526,1725,1676.48479303526,1
windy_mild,NY2025:CEEC:351,1402.78108195829,1676.48479303526,2000,1676.48479303526,1
