model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,112.939974340867,0,-112.939974340867,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,118.37911394557,29.6686025847909,0,0,118.37911394557,29.6686025847909,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,461.756461956866,71.3341274402779,0,0,461.756461956866,71.3341274402779,0.798175598482101,0.154484307892461
42,F,204.597757,116.758419774664,9.70144133187779,0,0,116.758419774664,9.70144133187779,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,351.300221426055,20.1817944055731,0,0,351.300221426055,20.1817944055731,1,0.0574488519353842
46,D,26.5861492,6.13518315088855,-9.80756114589033,0,0,6.13518315088855,-9.80756114589033,0.0303030303168461,-1.59857675063375
47,D,610.325512,140.842465360866,23.0766144609184,0,0,140.842465360866,23.0766144609184,0.695652174150916,0.163846993176323
48,D,0,0,0,-287.956988800991,0,287.956988800991,0,0,0.250623624353469
49,D,240.431262,55.4833953752607,3.92302445835613,0,0,55.4833953752607,3.92302445835613,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,356.171011759352,31.6136656003018,0,0,356.171011759352,31.6136656003018,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,583.037855032657,136.617853589872,0,0,583.037855032657,136.617853589872,1,0.234320726194048
54,A,20,6.63351530620552,0,-245.274250623645,0,251.90776592985,0,0.00763005733397711,0
55,A,939,311.443543626349,43.7812010209565,0,0,311.443543626349,43.7812010209565,0.358231191830225,0.140575079872204
56,A,198.818159,65.9431650439052,14.5937336736522,0,0,65.9431650439052,14.5937336736522,0.0758496976102888,0.221307752879856
57,A,277.420687,92.0137186736276,-1.99005459186166,0,0,92.0137186736276,-1.99005459186166,0.105836787372066,-0.0216278031205366
58,A,97.0972405,32.2048015523534,12.6036790817905,0,0,32.2048015523534,12.6036790817905,0.0370428755992982,0.391360246741513
59,A,814.923268,270.290298583051,65.6718015314347,0,0,270.290298583051,65.6718015314347,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,90.863547053391,2.65340612248221,0,0,90.863547053391,2.65340612248221,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,69.6750407280618,10.5378885334339,0,0,69.6750407280618,10.5378885334339,0.0924369749543922,0.151243378164109
65,C,105.188677,44.3386621282155,0,0,0,44.3386621282155,0,0.058823529313079,0
66,C,0,0,0,-21.8277801167033,0,21.8277801167033,0,0,0.250623624353469
67,C,0,0,0,-9.35476290715856,0,9.35476290715856,0,0,0.250623624353469
68,C,243.899021,102.807227868467,17.2821371948317,0,0,102.807227868467,17.2821371948317,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,180.765314960114,22.34032369088,0,0,180.765314960114,22.34032369088,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,295.947784863924,74.1715064619772,169.4099615113,0,126.537823352624,74.1715064619772,0.5,0.250623624353469
74,H,117.903792,156.627837460611,0,0,0,156.627837460611,0,1,0
75,G,0,0,0,-15.5912715119309,0,15.5912715119309,0,0,0.250623624353469
76,G,0,177.568670918354,44.5029038771863,0,0,177.568670918354,44.5029038771863,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,325.921643769386,84.5876296690097,0,0,325.921643769386,84.5876296690097,1,0.259533637259334
79,J,0,1274.56191031496,319.435325426016,0,0,1274.56191031496,319.435325426016,0.45,0.250623624353469
80,K,809.143671,1243.88297509983,38.4320801015024,374.969627751975,0,868.913347347854,38.4320801015024,1,0.0308968615784922
81,J,0,283.235980069992,70.9856278724481,309.305324830091,0,-26.0693447600993,70.9856278724481,0.1,0.250623624353469
82,J,0,1274.56191031496,319.435325426016,0,0,1274.56191031496,319.435325426016,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
